AXIS,CX,CY,CZ,X,Y,HEADING
YAXIS,-1,2,9,95,-292,0
YAXIS,0,60,4,111,-339,0
YAXIS,-20,-13,10,114,-328,0
YAXIS,21,-86,-2,109,-327,0
YAXIS,-5,-20,-6,115,-306,0
YAXIS,-2,78,-5,90,-276,0
YAXIS,-3,109,-4,-120,-260,0
YAXIS,-2,-101,4,112,13,0
YAXIS,-5,-110,1,119,22,0
YAXIS,-2,-112,-3,115,18,0
YAXIS,1,77,3,82,-262,0
YAXIS,1,102,-5,103,-287,0
YAXIS,-1,29,4,-116,-289,0
YAXIS,0,24,4,-114,-275,0
YAXIS,-23,122,6,123,26,0
YAXIS,0,44,-5,-127,18,0
YAXIS,-2,15,-6,121,1,0
YAXIS,2,75,6,-126,0,0
YAXIS,20,-73,-3,-114,-281,0
YAXIS,-1,-77,3,126,-259,0
YAXIS,0,116,-4,102,-257,0
YAXIS,8,62,-3,86,-267,0
YAXIS,-1,-90,-5,96,3,0
YAXIS,1,-100,-6,102,-259,0
YAXIS,0,58,-6,88,-284,0
YAXIS,-1,1,-4,98,-295,0
YAXIS,-3,122,4,114,-311,0
YAXIS,0,116,3,105,-297,0
YAXIS,0,-111,-5,-123,-332,0
YAXIS,2,100,3,-121,-330,0
YAXIS,-1,-88,-4,-128,-328,0
YAXIS,0,-113,-4,-126,-326,0
YAXIS,0,17,-4,-124,-307,0
YAXIS,3,68,5,114,-300,0
YAXIS,2,-39,-5,112,-288,0
YAXIS,0,-126,-4,-111,-273,0
YAXIS,-3,-47,4,120,-291,0
YAXIS,1,50,-4,-124,-324,0
YAXIS,-6,-87,-7,-128,-325,0
YAXIS,0,57,-6,-102,-302,0
YAXIS,-1,-24,-5,-98,-311,0
YAXIS,2,29,-6,-100,-323,0
YAXIS,-1,-102,-4,-87,-326,0
YAXIS,1,-99,4,-99,-306,0
YAXIS,-1,37,-5,-90,-305,0
YAXIS,-3,113,-5,-99,-299,0
YAXIS,0,75,-5,-92,-299,0
YAXIS,0,-78,-4,-105,-283,0
YAXIS,0,-126,-4,-99,-280,0
YAXIS,-5,106,6,-85,-286,0
YAXIS,0,91,-6,-119,-294,0
YAXIS,0,-36,2,-96,-276,0
YAXIS,-3,103,-5,-89,-262,0
YAXIS,0,-64,4,-87,-265,0
YAXIS,-2,-17,-4,-86,-265,0
YAXIS,0,33,7,-121,-275,0
YAXIS,1,1,-4,-77,-268,0
YAXIS,0,41,3,-64,-257,0
YAXIS,-1,-81,-6,-62,8,0
YAXIS,0,73,3,-67,1,0
YAXIS,-2,117,-4,-75,-259,0
YAXIS,-1,22,-4,-86,-293,0
YAXIS,-2,-27,-5,-44,-273,0
YAXIS,2,90,-5,-52,-318,0
YAXIS,-1,-1,-4,-45,-310,0
YAXIS,-1,-37,-4,-44,-303,0
YAXIS,1,71,-4,-38,-307,0
YAXIS,0,-69,-5,-27,-286,0
YAXIS,21,-31,6,-27,-312,0
YAXIS,-1,-92,-5,-88,-289,0
YAXIS,1,-31,-4,-61,-292,0
